"","v","w","x"
"1",1940,1660,1
"2",388,332,1
"3",582,498,1
"4",1746,1494,1
"5",28,214,0
"6",970,830,1
"7",126,963,0
"8",112,856,0
"9",126,963,0
"10",98,749,0
"11",1164,996,1
"12",1940,1660,1
"13",194,166,1
"14",84,642,0
"15",56,428,0
"16",84,642,0
"17",776,664,1
"18",98,749,0
"19",776,664,1
"20",70,535,0
"21",1552,1328,1
"22",1164,996,1
"23",126,963,0
"24",776,664,1
"25",112,856,0
"26",126,963,0
"27",126,963,0
"28",1746,1494,1
"29",28,214,0
"30",98,749,0
"31",1940,1660,1
"32",776,664,1
"33",126,963,0
"34",194,166,1
"35",14,107,0
"36",126,963,0
"37",140,1070,0
"38",112,856,0
"39",98,749,0
"40",56,428,0
"41",98,749,0
"42",98,749,0
"43",98,749,0
"44",388,332,1
"45",388,332,1
"46",970,830,1
"47",42,321,0
"48",1358,1162,1
"49",112,856,0
"50",140,1070,0
"51",126,963,0
"52",1164,996,1
"53",1746,1494,1
"54",1552,1328,1
"55",1164,996,1
"56",70,535,0
"57",28,214,0
"58",112,856,0
"59",112,856,0
"60",1164,996,1
"61",1746,1494,1
"62",56,428,0
"63",1940,1660,1
"64",112,856,1
"65",28,214,1
"66",98,749,1
"67",126,963,1
"68",776,664,1
"69",70,535,1
"70",42,321,1
"71",56,428,1
"72",98,749,1
"73",194,166,1
"74",582,498,1
"75",970,830,1
"76",776,664,1
"77",970,830,1
"78",70,535,0
"79",582,498,1
"80",112,856,1
"81",140,1070,1
"82",970,830,1
"83",1164,996,1
"84",42,321,1
"85",582,498,1
"86",14,107,1
"87",70,535,1
"88",28,214,1
"89",14,107,1
"90",14,107,1
"91",582,498,1
"92",388,332,1
"93",56,428,0
"94",970,830,1
"95",1746,1494,1
"96",84,642,1
"97",1746,1494,1
"98",84,642,1
"99",388,332,1
"100",140,1070,0
