"","v","w","x"
"1",1040,200,1
"2",116,332,0
"3",1170,225,1
"4",116,332,0
"5",261,747,0
"6",780,150,1
"7",203,581,0
"8",232,664,0
"9",910,175,1
"10",145,415,1
"11",260,50,1
"12",232,664,0
"13",290,830,1
"14",116,332,0
"15",520,100,1
"16",520,100,1
"17",58,166,1
"18",232,664,0
"19",87,249,1
"20",232,664,0
"21",520,100,1
"22",290,830,0
"23",29,83,0
"24",130,25,1
"25",650,125,1
"26",29,83,0
"27",174,498,0
"28",780,150,1
"29",650,125,1
"30",780,150,1
"31",650,125,1
"32",58,166,0
"33",29,83,0
"34",390,75,1
"35",910,175,1
"36",116,332,0
"37",650,125,1
"38",290,830,0
"39",390,75,1
"40",29,83,0
"41",260,50,1
"42",1040,200,1
"43",910,175,1
"44",29,83,0
"45",87,249,0
"46",520,100,1
"47",145,415,0
"48",145,415,0
"49",1170,225,1
"50",145,415,0
"51",1170,225,1
"52",145,415,0
"53",87,249,0
"54",145,415,0
"55",290,830,0
"56",1040,200,1
"57",116,332,0
"58",116,332,0
"59",390,75,1
"60",203,581,0
"61",232,664,0
"62",58,166,0
"63",1170,225,1
"64",87,249,0
"65",203,581,0
"66",1170,225,1
"67",58,166,0
"68",174,498,0
"69",145,415,0
"70",261,747,0
"71",130,25,1
"72",390,75,1
"73",520,100,1
"74",87,249,1
"75",1300,250,1
"76",650,125,1
"77",390,75,1
"78",203,581,0
"79",87,249,0
"80",910,175,1
"81",780,150,1
"82",87,249,1
"83",261,747,0
"84",58,166,0
"85",260,50,1
"86",520,100,1
"87",650,125,1
"88",520,100,1
"89",174,498,0
"90",650,125,1
"91",290,830,0
"92",232,664,0
"93",1300,250,1
"94",87,249,0
"95",520,100,1
"96",780,150,1
"97",130,25,1
"98",650,125,1
"99",650,125,1
"100",650,125,1
