"","v","w","x"
"1",1136,672,1
"2",1168,1160,0
"3",142,84,0
"4",1460,1450,0
"5",438,435,0
"6",1420,840,0
"7",146,145,0
"8",1168,1160,0
"9",142,84,0
"10",1314,1305,0
"11",568,336,0
"12",292,290,0
"13",876,870,0
"14",1460,1450,0
"15",284,168,0
"16",852,504,0
"17",292,290,0
"18",876,870,0
"19",1022,1015,0
"20",1460,1450,0
"21",1136,672,0
"22",584,580,0
"23",730,725,0
"24",1278,756,0
"25",1278,756,0
"26",1022,1015,0
"27",876,870,0
"28",284,168,0
"29",994,588,0
"30",1136,672,0
"31",1278,756,0
"32",584,580,0
"33",730,725,0
"34",994,588,0
"35",710,420,1
"36",292,290,0
"37",1278,756,1
"38",876,870,0
"39",1278,756,0
"40",438,435,0
"41",568,336,0
"42",1136,672,0
"43",710,420,0
"44",1022,1015,0
"45",146,145,0
"46",284,168,1
"47",730,725,0
"48",146,145,0
"49",994,588,1
"50",438,435,0
"51",1278,756,1
"52",146,145,0
"53",1022,1015,0
"54",1314,1305,0
"55",1168,1160,0
"56",852,504,1
"57",584,580,0
"58",876,870,0
"59",710,420,1
"60",438,435,0
"61",876,870,0
"62",1168,1160,0
"63",142,84,0
"64",438,435,0
"65",1314,1305,0
"66",710,420,1
"67",1168,1160,0
"68",292,290,0
"69",146,145,0
"70",1022,1015,0
"71",1278,756,1
"72",1278,756,1
"73",284,168,0
"74",438,435,0
"75",1420,840,0
"76",142,84,0
"77",426,252,0
"78",1314,1305,0
"79",438,435,0
"80",994,588,0
"81",284,168,0
"82",438,435,0
"83",1022,1015,0
"84",876,870,0
"85",1420,840,0
"86",1420,840,0
"87",710,420,0
"88",1420,840,0
"89",292,290,0
"90",994,588,0
"91",1168,1160,0
"92",584,580,0
"93",1420,840,0
"94",730,725,0
"95",568,336,0
"96",568,336,0
"97",142,84,0
"98",426,252,0
"99",426,252,0
"100",426,252,0
