"","v","w","x"
"1",1269,1116,1
"2",83,112,0
"3",1410,1240,0
"4",415,560,0
"5",332,448,0
"6",987,868,0
"7",332,448,0
"8",249,336,0
"9",1128,992,0
"10",664,896,0
"11",987,868,0
"12",83,112,0
"13",581,784,0
"14",581,784,0
"15",141,124,0
"16",705,620,0
"17",747,1008,0
"18",415,560,0
"19",830,1120,0
"20",249,336,0
"21",141,124,0
"22",581,784,0
"23",830,1120,0
"24",564,496,0
"25",282,248,0
"26",166,224,0
"27",83,112,0
"28",705,620,0
"29",1128,992,0
"30",987,868,0
"31",1410,1240,0
"32",249,336,0
"33",830,1120,0
"34",282,248,0
"35",1410,1240,0
"36",747,1008,0
"37",1410,1240,0
"38",83,112,0
"39",1128,992,0
"40",498,672,0
"41",1269,1116,0
"42",987,868,0
"43",564,496,0
"44",830,1120,0
"45",664,896,0
"46",1269,1116,1
"47",332,448,0
"48",664,896,0
"49",1128,992,1
"50",498,672,0
"51",846,744,1
"52",664,896,0
"53",830,1120,0
"54",166,224,0
"55",83,112,0
"56",705,620,0
"57",249,336,0
"58",249,336,0
"59",564,496,1
"60",830,1120,0
"61",581,784,0
"62",249,336,0
"63",846,744,1
"64",664,896,0
"65",332,448,0
"66",1128,992,1
"67",83,112,0
"68",83,112,0
"69",166,224,0
"70",498,672,0
"71",282,248,1
"72",1410,1240,1
"73",705,620,0
"74",664,896,0
"75",423,372,0
"76",564,496,0
"77",1410,1240,0
"78",498,672,0
"79",664,896,0
"80",282,248,0
"81",705,620,0
"82",332,448,0
"83",166,224,0
"84",249,336,0
"85",423,372,0
"86",423,372,0
"87",564,496,0
"88",987,868,0
"89",249,336,0
"90",564,496,0
"91",83,112,0
"92",249,336,0
"93",1269,1116,0
"94",830,1120,0
"95",987,868,0
"96",141,124,0
"97",1128,992,0
"98",846,744,0
"99",846,744,0
"100",282,248,0
