"","v","w","x"
"1",37,3,0
"2",37,3,1
"3",148,12,1
"4",148,12,1
"5",300,498,0
"6",222,18,1
"7",1000,1660,0
"8",300,498,0
"9",200,332,0
"10",800,1328,0
"11",37,3,1
"12",259,21,1
"13",148,12,1
"14",500,830,0
"15",900,1494,0
"16",300,498,1
"17",185,15,1
"18",200,332,0
"19",259,21,1
"20",1000,1660,1
"21",333,27,1
"22",111,9,1
"23",600,996,1
"24",111,9,1
"25",500,830,1
"26",800,1328,1
"27",1000,1660,1
"28",222,18,1
"29",900,1494,1
"30",800,1328,1
"31",37,3,1
"32",37,3,1
"33",600,996,0
"34",370,30,1
"35",1000,1660,0
"36",800,1328,0
"37",100,166,0
"38",900,1494,0
"39",400,664,0
"40",500,830,0
"41",400,664,0
"42",200,332,0
"43",600,996,0
"44",185,15,1
"45",259,21,1
"46",296,24,1
"47",200,332,0
"48",370,30,1
"49",700,1162,0
"50",900,1494,0
"51",1000,1660,0
"52",37,3,1
"53",370,30,1
"54",185,15,1
"55",37,3,1
"56",800,1328,0
"57",100,166,0
"58",500,830,0
"59",500,830,0
"60",185,15,1
"61",296,24,1
"62",100,166,1
"63",37,3,1
"64",300,498,1
"65",700,1162,1
"66",1000,1660,1
"67",400,664,1
"68",37,3,1
"69",800,1328,1
"70",200,332,1
"71",300,498,1
"72",400,664,1
"73",222,18,1
"74",148,12,1
"75",222,18,1
"76",259,21,1
"77",370,30,1
"78",1000,1660,1
"79",296,24,1
"80",500,830,1
"81",300,498,1
"82",148,12,1
"83",185,15,1
"84",1000,1660,1
"85",74,6,1
"86",400,664,1
"87",1000,1660,1
"88",300,498,1
"89",1000,1660,1
"90",800,1328,1
"91",74,6,1
"92",333,27,1
"93",500,830,1
"94",222,18,1
"95",74,6,1
"96",500,830,1
"97",296,24,1
"98",500,830,1
"99",185,15,1
"100",900,1494,0
