"","v","w","x"
"1",1900,410,0
"2",1312,720,0
"3",190,41,0
"4",1312,720,0
"5",820,450,0
"6",1520,328,0
"7",820,450,0
"8",984,540,0
"9",190,41,0
"10",164,90,0
"11",380,82,0
"12",1312,720,0
"13",1640,900,0
"14",984,540,0
"15",760,164,0
"16",380,82,0
"17",1312,720,0
"18",1640,900,0
"19",164,90,0
"20",1640,900,0
"21",380,82,0
"22",656,360,0
"23",820,450,0
"24",570,123,0
"25",1710,369,0
"26",164,90,0
"27",328,180,0
"28",760,164,0
"29",570,123,0
"30",1520,328,0
"31",190,41,0
"32",1312,720,0
"33",820,450,0
"34",1710,369,0
"35",1710,369,0
"36",1312,720,0
"37",190,41,0
"38",328,180,0
"39",1330,287,0
"40",1148,630,0
"41",1140,246,0
"42",1900,410,0
"43",570,123,0
"44",820,450,0
"45",492,270,0
"46",380,82,0
"47",820,450,0
"48",492,270,0
"49",1330,287,0
"50",820,450,0
"51",950,205,1
"52",492,270,0
"53",492,270,0
"54",1476,810,0
"55",656,360,0
"56",1520,328,1
"57",328,180,0
"58",1640,900,0
"59",190,41,1
"60",1476,810,0
"61",984,540,0
"62",1640,900,0
"63",1330,287,1
"64",492,270,0
"65",164,90,0
"66",190,41,0
"67",656,360,0
"68",1312,720,0
"69",820,450,0
"70",820,450,0
"71",190,41,0
"72",1330,287,0
"73",1520,328,0
"74",1476,810,0
"75",380,82,0
"76",1330,287,0
"77",950,205,0
"78",164,90,0
"79",820,450,0
"80",1330,287,0
"81",1900,410,0
"82",492,270,0
"83",164,90,0
"84",1640,900,0
"85",380,82,0
"86",1140,246,0
"87",1330,287,0
"88",1900,410,0
"89",1640,900,0
"90",1710,369,0
"91",1640,900,0
"92",1640,900,0
"93",1520,328,0
"94",164,90,0
"95",1900,410,0
"96",1900,410,0
"97",1710,369,0
"98",950,205,0
"99",190,41,0
"100",190,41,0
