"","v","w","x"
"1",128,1088,0
"2",32,272,1
"3",16,136,1
"4",16,136,1
"5",280,232,1
"6",112,952,1
"7",630,522,1
"8",700,580,1
"9",70,58,1
"10",70,58,1
"11",160,1360,1
"12",160,1360,1
"13",80,680,1
"14",560,464,1
"15",700,580,1
"16",280,232,1
"17",32,272,1
"18",350,290,1
"19",128,1088,1
"20",490,406,1
"21",32,272,1
"22",128,1088,1
"23",210,174,1
"24",160,1360,1
"25",420,348,1
"26",490,406,1
"27",70,58,1
"28",16,136,1
"29",420,348,1
"30",70,58,1
"31",96,816,1
"32",64,544,1
"33",350,290,1
"34",80,680,1
"35",70,58,1
"36",70,58,1
"37",560,464,1
"38",420,348,1
"39",350,290,1
"40",420,348,1
"41",70,58,1
"42",210,174,1
"43",70,58,1
"44",64,544,1
"45",128,1088,1
"46",16,136,1
"47",350,290,1
"48",48,408,1
"49",280,232,1
"50",700,580,1
"51",350,290,1
"52",64,544,1
"53",112,952,1
"54",128,1088,1
"55",128,1088,1
"56",210,174,1
"57",280,232,1
"58",420,348,1
"59",560,464,1
"60",96,816,1
"61",16,136,1
"62",280,232,1
"63",32,272,0
"64",420,348,1
"65",140,116,1
"66",490,406,1
"67",70,58,1
"68",128,1088,1
"69",490,406,1
"70",490,406,1
"71",700,580,1
"72",210,174,1
"73",48,408,1
"74",80,680,1
"75",112,952,1
"76",128,1088,1
"77",112,952,1
"78",350,290,1
"79",16,136,1
"80",560,464,1
"81",280,232,1
"82",80,680,0
"83",96,816,1
"84",630,522,1
"85",48,408,1
"86",70,58,1
"87",70,58,1
"88",140,116,1
"89",490,406,1
"90",210,174,1
"91",144,1224,1
"92",96,816,1
"93",140,116,1
"94",112,952,1
"95",144,1224,1
"96",700,580,1
"97",112,952,1
"98",700,580,1
"99",64,544,1
"100",140,116,1
