"","v","w","x"
"1",492,63,1
"2",11,93,1
"3",984,126,1
"4",11,93,1
"5",88,744,1
"6",492,63,1
"7",88,744,1
"8",55,465,1
"9",1640,210,1
"10",88,744,1
"11",1148,147,1
"12",33,279,1
"13",11,93,1
"14",77,651,1
"15",164,21,1
"16",1148,147,1
"17",77,651,1
"18",55,465,1
"19",44,372,1
"20",11,93,1
"21",1148,147,1
"22",11,93,0
"23",88,744,0
"24",656,84,1
"25",656,84,1
"26",44,372,1
"27",11,93,1
"28",1148,147,1
"29",984,126,1
"30",820,105,1
"31",328,42,1
"32",77,651,1
"33",88,744,0
"34",656,84,1
"35",656,84,1
"36",99,837,1
"37",328,42,1
"38",99,837,1
"39",984,126,1
"40",66,558,1
"41",1148,147,1
"42",820,105,1
"43",656,84,1
"44",88,744,1
"45",66,558,1
"46",1476,189,1
"47",110,930,1
"48",110,930,1
"49",1640,210,1
"50",22,186,1
"51",328,42,1
"52",22,186,1
"53",22,186,1
"54",22,186,1
"55",77,651,1
"56",1476,189,1
"57",77,651,0
"58",77,651,0
"59",984,126,1
"60",66,558,0
"61",11,93,0
"62",99,837,0
"63",656,84,1
"64",66,558,1
"65",22,186,1
"66",656,84,1
"67",77,651,1
"68",33,279,0
"69",22,186,0
"70",66,558,1
"71",328,42,1
"72",656,84,1
"73",492,63,1
"74",110,930,1
"75",820,105,1
"76",984,126,1
"77",1640,210,1
"78",44,372,1
"79",44,372,1
"80",328,42,1
"81",820,105,1
"82",44,372,1
"83",66,558,1
"84",11,93,1
"85",164,21,1
"86",1476,189,1
"87",1640,210,1
"88",1148,147,1
"89",55,465,1
"90",328,42,1
"91",33,279,0
"92",55,465,1
"93",820,105,1
"94",88,744,1
"95",1476,189,1
"96",164,21,1
"97",1640,210,1
"98",328,42,1
"99",656,84,1
"100",1312,168,1
